Date,CPI (Inflation Level),Interbank Interest Rate,10-Year Bond Yield,USD/INR Exchange Rate,M3 Money Supply Growth
1952-05-01,,,,,-8.0492402759
1952-06-01,,,,,-7.4546188565
1952-07-01,,,,,-6.1750490111
1952-08-01,,,,,-5.3010400647
1952-09-01,,,,,-4.1238266926
1952-10-01,,,,,-3.6169023689
1952-11-01,,,,,-3.4018438416
1952-12-01,,,,,-2.7589756124
1953-01-01,,,,,-3.0233231371
1953-02-01,,,,,-2.7689068629
1953-03-01,,,,,-1.4420943549
1953-04-01,,,,,0.3563267996
1953-05-01,,,,,1.6091297868
1953-06-01,,,,,1.3371461882
1953-07-01,,,,,0.4774246057
1953-08-01,,,,,0.2214431926
1953-09-01,,,,,0.210821377
1953-10-01,,,,,0.7063680967
1953-11-01,,,,,2.0112063909
1953-12-01,,,,,2.4159161787
1954-01-01,,,,,2.9390679581
1954-02-01,,,,,3.8299662754
1954-03-01,,,,,3.8546249822
1954-04-01,,,,,3.1136916574
1954-05-01,,,,,2.617818293
1954-06-01,,,,,2.659883672
1954-07-01,,,,,3.1118012059
1954-08-01,,,,,3.9937734759
1954-09-01,,,,,5.106795636
1954-10-01,,,,,5.8741517938
1954-11-01,,,,,5.819108128
1954-12-01,,,,,6.620965889
1955-01-01,,,,,7.1392680631
1955-02-01,,,,,7.011924075
1955-03-01,,,,,7.6666182286
1955-04-01,,,,,8.1728246177
1955-05-01,,,,,8.8113485476
1955-06-01,,,,,10.204403609
1955-07-01,,,,,11.3889915679
1955-08-01,,,,,11.7546509475
1955-09-01,,,,,11.7242570973
1955-10-01,,,,,11.7894168213
1955-11-01,,,,,11.9972542227
1955-12-01,,,,,11.887244644
1956-01-01,,,,,12.0615957572
1956-02-01,,,,,12.0031173994
1956-03-01,,,,,12.1635183728
1956-04-01,,,,,12.705628588
1956-05-01,,,,,12.5484040837
1956-06-01,,,,,11.6144577916
1956-07-01,,,,,10.5232508701
1956-08-01,,,,,9.9110144373
1956-09-01,,,,,9.0594087117
1956-10-01,,,,,7.9851234634
1956-11-01,,,,,7.6449059269
1956-12-01,,,,,7.474552691
1957-01-01,1.471388,,,4.7619,7.1637906014
1957-02-01,1.471388,,,4.7619,7.505250246
1957-03-01,1.471388,,,4.7619,7.3540236415
1957-04-01,1.500524,,,4.7619,7.200092435
1957-05-01,1.51145,,,4.7619,8.0835134348
1957-06-01,1.540586,,,4.7619,8.9360064655
1957-07-01,1.540586,,,4.7619,9.2868089361
1957-08-01,1.5551549999999998,,,4.7619,8.778760564
1957-09-01,1.566081,,,4.7619,8.9803292203
1957-10-01,1.5551549999999998,,,4.7619,10.2307869915
1957-11-01,1.566081,,,4.7619,10.2605846938
1957-12-01,1.5551549999999998,,,4.7619,9.950100668
